"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Елементи сторінки","3","0","","0"
"1","","0","Відстеження відправлень Нова Пошта","1","0","","0"
